Date,Account Balance,Backtest ID,Risk
2024-10-07,9992.91,Test 31,"TP: 0.00, SL: 0.00"
2024-10-10,10006.36,Test 31,"TP: 0.00, SL: 0.00"
2024-10-11,10013.07,Test 31,"TP: 0.00, SL: 0.00"
2024-10-18,10025.82,Test 31,"TP: 0.00, SL: 0.00"
2024-10-22,10016.67,Test 31,"TP: 0.00, SL: 0.00"
2024-10-29,10011.60,Test 31,"TP: 0.00, SL: 0.00"
2024-11-06,10044.49,Test 31,"TP: 0.00, SL: 0.00"
2024-09-26,10009.18,Test 31,"TP: 0.00, SL: 0.00"
2024-10-04,9993.55,Test 31,"TP: 0.00, SL: 0.00"
2024-11-07,10044.49,Test 31,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 31,"TP: 0.00, SL: 0.00"
2024-10-09,10001.88,Test 31,"TP: 0.00, SL: 0.00"
2024-10-31,10002.40,Test 31,"TP: 0.00, SL: 0.00"
2024-09-27,10016.27,Test 31,"TP: 0.00, SL: 0.00"
2024-10-14,10013.07,Test 31,"TP: 0.00, SL: 0.00"
2024-11-01,9998.02,Test 31,"TP: 0.00, SL: 0.00"
2024-11-08,10049.02,Test 31,"TP: 0.00, SL: 0.00"
2024-10-07,9994.46,Test 28,"TP: 0.00, SL: 0.00"
2024-10-17,10017.04,Test 28,"TP: 0.00, SL: 0.00"
2024-11-07,10048.03,Test 28,"TP: 0.00, SL: 0.00"
2024-10-01,9995.83,Test 28,"TP: 0.00, SL: 0.00"
2024-10-04,9995.11,Test 28,"TP: 0.00, SL: 0.00"
2024-10-28,9994.18,Test 28,"TP: 0.00, SL: 0.00"
2024-10-30,9998.44,Test 28,"TP: 0.00, SL: 0.00"
2024-10-31,9998.44,Test 28,"TP: 0.00, SL: 0.00"
2024-11-04,9988.63,Test 28,"TP: 0.00, SL: 0.00"
2024-09-26,9996.70,Test 28,"TP: 0.00, SL: 0.00"
2024-10-08,9998.87,Test 28,"TP: 0.00, SL: 0.00"
2024-09-24,10007.77,Test 28,"TP: 0.00, SL: 0.00"
2024-09-27,9996.70,Test 28,"TP: 0.00, SL: 0.00"
2024-10-02,9988.49,Test 28,"TP: 0.00, SL: 0.00"
2024-10-14,10013.41,Test 28,"TP: 0.00, SL: 0.00"
2024-10-15,10004.59,Test 28,"TP: 0.00, SL: 0.00"
2024-10-18,10017.04,Test 28,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 28,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 28,"TP: 0.00, SL: 0.00"
2024-10-22,10017.10,Test 28,"TP: 0.00, SL: 0.00"
2024-10-25,9994.75,Test 28,"TP: 0.00, SL: 0.00"
2024-10-21,10020.43,Test 28,"TP: 0.00, SL: 0.00"
2024-10-24,10004.83,Test 28,"TP: 0.00, SL: 0.00"
2024-10-23,10007.26,Test 28,"TP: 0.00, SL: 0.00"
